ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
AR,,,,,6.35,,,,,,,"<b>LICEUL ""SEVER BOCU"" LIPOVA</b><br/>Servicii/Liceal/Zi",<b>(143) Economic</b><br/>Limba română
AR,,,,,4.50,,,,,,,"<b>LICEUL TEORETIC ""JOZEF GREGOR TAJOVSKY"" NĂDLAC</b><br/>Real/Liceal/Zi",<b>(192) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.60,,,,,,,"<b>LICEUL TEORETIC ""JOZEF GREGOR TAJOVSKY"" NĂDLAC</b><br/>Umanist/Liceal/Zi",<b>(194) Ştiinţe Sociale</b><br/>Limba română
AR,,,,,4.53,,,,,,,"<b>LICEUL TEORETIC ""JOZEF GREGOR TAJOVSKY"" NĂDLAC</b><br/>Umanist/Liceal/Zi",<b>(195) Ştiinţe Sociale</b><br/>Limba slovacă
AR,,,,,6.62,,,,,,,<b>LICEUL TEORETIC PÂNCOTA</b><br/>Umanist/Liceal/Zi,<b>(199) Filologie</b><br/>Limba română
AR,,,,,6.32,,,,,,,<b>LICEUL TEORETIC PÂNCOTA</b><br/>Real/Liceal/Zi,<b>(200) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.00,,,,,,,<b>LICEUL TEORETIC SEBIŞ</b><br/>Tehnic/Liceal/Zi,<b>(201) Fabricarea produselor din lemn</b><br/>Limba română
AR,,,,,6.84,,,,,,,<b>LICEUL TEORETIC SEBIŞ</b><br/>Umanist/Liceal/Zi,<b>(202) Filologie</b><br/>Limba română
AR,,,,,6.37,,,,,,,<b>LICEUL TEORETIC SEBIŞ</b><br/>Real/Liceal/Zi,<b>(203) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.96,,,,,,,<b>LICEUL TEORETIC SEBIŞ</b><br/>Servicii/Liceal/Zi,<b>(204) Turism şi alimentaţie</b><br/>Limba română
AR,,,,,6.58,,,,,,,<b>LICEUL TEORETIC SEBIŞ</b><br/>Real/Liceal/Zi,<b>(205) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,3.26,,,,,,,<b>LICEUL TEHNOLOGIC BELIU</b><br/>Servicii/Liceal/Zi,<b>(146) Economic</b><br/>Limba română
AR,,,,,3.12,,,,,,,<b>LICEUL TEORETIC CERMEI</b><br/>Real/Liceal/Zi,<b>(189) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,3.48,,,,,,,"<b>LICEUL TEHNOLOGIC ""VASILE JUNCU"" MINIŞ</b><br/>Servicii/Liceal/Zi",<b>(179) Economic</b><br/>Limba română
AR,,,,,5.66,,,,,,,"<b>LICEUL ""IOAN BUTEANU"" GURAHONŢ</b><br/>Umanist/Liceal/Zi",<b>(138) Filologie</b><br/>Limba română
AR,,,,,4.36,,,,,,,"<b>LICEUL ""IOAN BUTEANU"" GURAHONŢ</b><br/>Real/Liceal/Zi",<b>(139) Matematică-Informatică</b><br/>Limba română
AR,,,,,3.61,,,,,,,"<b>LICEUL ""IOAN BUTEANU"" GURAHONŢ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(140) Silvicultură</b><br/>Limba română
AR,,,,,2.89,,,,,,,"<b>LICEUL TEHNOLOGIC ""MOGA VOIEVOD"" HĂLMAGIU</b><br/>Servicii/Liceal/Zi",<b>(169) Turism şi alimentaţie</b><br/>Limba română
AR,,,,,4.59,,,,,,,"<b>LICEUL TEORETIC ""GHEORGHE LAZĂR"" PECICA</b><br/>Umanist/Liceal/Zi",<b>(190) Filologie</b><br/>Limba română
