ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
AR,,,,,3.55,,,,,,,"<b>LICEUL ""IOAN BUTEANU"" GURAHONŢ</b><br/>Umanist/Liceal/Zi",<b>(137) Filologie</b><br/>Limba română
AR,,,,,2.10,,,,,,,"<b>LICEUL ""IOAN BUTEANU"" GURAHONŢ</b><br/>Real/Liceal/Zi",<b>(138) Matematică-Informatică</b><br/>Limba română
AR,,,,,1.72,,,,,,,"<b>LICEUL TEHNOLOGIC ""MOGA VOIEVOD"" HĂLMAGIU</b><br/>Servicii/Liceal/Zi",<b>(152) Turism şi alimentaţie</b><br/>Limba română
AR,,,,,4.37,,,,,,,"<b>LICEUL TEORETIC ""GHEORGHE LAZĂR"" PECICA</b><br/>Umanist/Liceal/Zi",<b>(189) Filologie</b><br/>Limba română
AR,,,,,3.42,,,,,,,"<b>LICEUL TEORETIC ""GHEORGHE LAZĂR"" PECICA</b><br/>Real/Liceal/Zi",<b>(190) Matematică-Informatică</b><br/>Limba română
AR,,,,,3.25,,,,,,,<b>LICEUL TEHNOLOGIC ”REGELE MIHAI I” SĂVÂRŞIN</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(178) Agricultură</b><br/>Limba română
AR,,,,,5.35,,,,,,,<b>LICEUL TEHNOLOGIC ”REGELE MIHAI I” SĂVÂRŞIN</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(179) Protecţia mediului</b><br/>Limba română
AR,,,,,3.50,,,,,,,"<b>LICEUL TEHNOLOGIC ""STEFAN HELL"" SÂNTANA</b><br/>Servicii/Liceal/Zi",<b>(157) Economic</b><br/>Limba română
AR,,,,,2.35,,,,,,,"<b>LICEUL TEHNOLOGIC ""STEFAN HELL"" SÂNTANA</b><br/>Tehnic/Liceal/Zi",<b>(158) Mecanică</b><br/>Limba română
AR,,,,,4.27,,,,,,,"<b>LICEUL TEHNOLOGIC ""STEFAN HELL"" SÂNTANA</b><br/>Umanist/Liceal/Zi",<b>(159) Ştiinţe Sociale</b><br/>Limba română
AR,,,,,3.15,,,,,,,<b>LICEUL TEHNOLOGIC VINGA</b><br/>Servicii/Liceal/Zi,<b>(177) Economic</b><br/>Limba română
AR,,,,,4.42,,,,,,,"<b>LICEUL TEHNOLOGIC DE ELECTRONICĂ ŞI AUTOMATIZĂRI ""CAIUS IACOB"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(170) Electric</b><br/>Limba română
AR,,,,,2.67,,,,,,,"<b>LICEUL TEHNOLOGIC DE ELECTRONICĂ ŞI AUTOMATIZĂRI ""CAIUS IACOB"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(171) Electronică automatizări</b><br/>Limba română
AR,,,,,7.65,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(125) Filologie</b><br/>Limba română
AR,,,,,8.22,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Real/Liceal/Zi",<b>(127) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.40,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Real/Liceal/Zi",<b>(128) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,7.62,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(126) Filologie</b><br/>Limba română
AR,,,,,7.40,,,,,,,<b>LICEUL NAŢIONAL DE INFORMATICĂ ARAD</b><br/>Real/Liceal/Zi,<b>(142) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.95,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(129) Economic</b><br/>Limba maghiară
AR,,,,,5.56,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Real/Liceal/Zi",<b>(130) Matematică-Informatică</b><br/>Limba maghiară
AR,,,,,2.73,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(131) Turism şi alimentaţie</b><br/>Limba maghiară
AR,,,,,6.98,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Real/Liceal/Zi",<b>(132) Ştiinţe ale Naturii</b><br/>Limba maghiară
AR,,,,,3.90,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(133) Ştiinţe Sociale</b><br/>Limba maghiară
AR,,,,,2.62,,,,,,,<b>LICEUL TEHNOLOGIC DE CONSTRUCŢII ŞI PROTECŢIA MEDIULUI ARAD</b><br/>Tehnic/Liceal/Zi,"<b>(167) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română"
AR,,,,,4.15,,,,,,,<b>LICEUL TEHNOLOGIC DE CONSTRUCŢII ŞI PROTECŢIA MEDIULUI ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(169) Protecţia mediului</b><br/>Limba română
AR,,,,,3.45,,,,,,,"<b>LICEUL TEHNOLOGIC ""AUREL VLAICU"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(143) Electric</b><br/>Limba română
AR,,,,,2.65,,,,,,,"<b>LICEUL TEHNOLOGIC ""AUREL VLAICU"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(144) Mecanică</b><br/>Limba română
